id,thumbnail,alt,title,description,location,is_active,created_at,updated_at
1,095514-1_KH Beton Menghadiri Pertemuan dan Rapat pada Instansi INKINDO Yogyakarta.jpg,KH Beton Menghadiri Pertemuan dan Rapat Kerja pada Instansi INKINDO Yogyakarta,KH Beton Menghadiri Pertemuan dan Rapat Kerja pada Instansi INKINDO Yogyakarta,NULL,NULL,TRUE,12/07/2024,12/07/2024
2,095609-2_Armada truck besar siap mengangkut Cover U-Ditch.jpg,Armada truck besar siap mengangkut Cover U-Ditch,Armada truck besar siap mengangkut Cover U-Ditch,NULL,NULL,TRUE,12/07/2024,12/07/2024
3,095628-3_Survey Lokasi untuk Pembangunan Pagar Panel Beton di Pekalongan.jpg,Survey Lokasi untuk Pembangunan Pagar Panel Beton di Pekalongan,Survey Lokasi untuk Pembangunan Pagar Panel Beton di Pekalongan,NULL,NULL,TRUE,12/07/2024,12/07/2024
4,095947-4_Menghadiri Rapat Kerja Provinsi INKINDO DKI Jakarta.jpg,Menghadiri Rapat Kerja Provinsi INKINDO DKI Jakarta,Menghadiri Rapat Kerja Provinsi INKINDO DKI Jakarta,NULL,NULL,TRUE,12/07/2024,12/07/2024
5,100030-5_Proses Pengangkutan U-Ditch menggunakan Alat Crane.jpg,Proses Pengangkutan U-Ditch menggunakan Alat Crane,Proses Pengangkutan U-Ditch menggunakan Alat Crane,NULL,NULL,TRUE,12/07/2024,12/07/2024
6,100049-6_Kunjungan Dari Dinas Pembangunan Umum Kendal.jpg,Kunjungan Dari Dinas Pembangunan Umum Kendal,Kunjungan Dari Dinas Pembangunan Umum Kendal,NULL,NULL,TRUE,12/07/2024,12/07/2024
7,100109-7_Test Silinder di Lab. Fakultas Teknik Sipil Universitas Sebelas Maret (UNS).jpg,Test Silinder di Lab. Fakultas Teknik Sipil Universitas Sebelas Maret (UNS).,Test Silinder di Lab. Fakultas Teknik Sipil Universitas Sebelas Maret (UNS).,NULL,NULL,TRUE,12/07/2024,12/07/2024
8,100605-8_Doa Bersama dalam Rangka Mengawali Pembangunan Pabrik KH Beton yang Baru.jpg,Doa Bersama dalam Rangka Mengawali Pembangunan Pabrik KH Beton yang Baru,Doa Bersama dalam Rangka Mengawali Pembangunan Pabrik KH Beton yang Baru,NULL,NULL,TRUE,12/07/2024,12/07/2024
9,100620-9_Uji Hammer Test pada Produk Saluran U-Ditch oleh BP2 Semarang.jpg,Uji Hammer Test pada Produk Saluran U-Ditch oleh BP2 Semarang,Uji Hammer Test pada Produk Saluran U-Ditch oleh BP2 Semarang,NULL,NULL,TRUE,12/07/2024,12/07/2024
10,100635-10_Kunjungan dan Survey dari salah satu Rekanan dari Semarang.jpg,Kunjungan dan Survey dari salah satu Rekanan dari Semarang,Kunjungan dan Survey dari salah satu Rekanan dari Semarang,NULL,NULL,TRUE,12/07/2024,12/07/2024
11,100652-11_Pengenalan Salah Satu Produk Baru KH Beton di Dinas Pekerjaan Umum Kab.Magelang.jpg,Pengenalan Salah Satu Produk Baru KH Beton di Dinas Pekerjaan Umum Kab.Magelang,Pengenalan Salah Satu Produk Baru KH Beton di Dinas Pekerjaan Umum Kab.Magelang,NULL,NULL,TRUE,12/07/2024,12/07/2024
12,100706-12_Acara Syukuran dan Doa Bersama semua Karyawan Staff pada Acara Soft Opening KH Beton.jpg,Acara Syukuran dan Doa Bersama semua Karyawan/ Staff pada Acara Soft Opening KH Beton,Acara Syukuran dan Doa Bersama semua Karyawan/ Staff pada Acara Soft Opening KH Beton,NULL,NULL,TRUE,12/07/2024,12/07/2024
13,100737-13_Acara Meeeting Bersama akhir Tahun 2018 KH Beton.jpg,Acara Meeting Bersama Akhir Tahun 2018 KH Beton ,Acara Meeting Bersama Akhir Tahun 2018 KH Beton ,NULL,NULL,TRUE,12/07/2024,12/07/2024
14,100753-14_Wujud Kantor Baru KH Beton.jpg,Wujud Kantor Baru KH Beton ,Wujud Kantor Baru KH Beton ,NULL,NULL,TRUE,12/07/2024,12/07/2024
15,101402-15_Pengenalan Produk di Dinas Pekerjaan Umum Dan Penataan Ruang Kab.Kendal.jpg,Pengenalan Produk di Dinas Pekerjaan Umum Dan Penataan Ruang Kab.Kendal,Pengenalan Produk di Dinas Pekerjaan Umum Dan Penataan Ruang Kab.Kendal,NULL,NULL,TRUE,12/07/2024,12/07/2024
16,101413-16_Kedatangan Tamu dari Dinas Pekerjaan Umum dan Penataan Ruang Kab.Banyumas.jpg,Kedatangan Tamu dari Dinas Pekerjaan Umum dan Penataan Ruang Kab.Banyumas,Kedatangan Tamu dari Dinas Pekerjaan Umum dan Penataan Ruang Kab.Banyumas,NULL,NULL,TRUE,12/07/2024,12/07/2024
17,100009-17_Pengenalan Inovasi Produk pada Dinas Pekerjaan Umum dan Penataan Ruang Kab.Sukoharjo.jpg,Pengenalan Inovasi Produk pada Dinas Pekerjaan Umum dan Penataan Ruang Kab.Sukoharjo,Pengenalan Inovasi Produk pada Dinas Pekerjaan Umum dan Penataan Ruang Kab.Sukoharjo,NULL,NULL,TRUE,12/07/2024,12/07/2024
18,101838-18_Uji Hammer Test Bersama Dinas Pekerjaan Umum dan Penataan Ruang Kab.Banyumas.jpg,Uji Hammer Test Bersama Dinas Pekerjaan Umum dan Penataan Ruang Kab.Banyumas,Uji Hammer Test Bersama Dinas Pekerjaan Umum dan Penataan Ruang Kab.Banyumas,NULL,NULL,TRUE,12/07/2024,12/07/2024
19,141132-19_Kedatangan Konsultan dari Pekalongan untuk Survey salah satu Produk Baru KH Beton.jpg,Kedatangan Konsultan dari Pekalongan Untuk Survey Produk INOVASI Saluran Beton Pracetak,Kedatangan Konsultan dari Pekalongan Untuk Survey Produk INOVASI Saluran Beton Pracetak,NULL,NULL,TRUE,12/07/2024,12/07/2024
20,151540-20_Uji Hammer Test Terhadap Produk Saluran Beton yang Dilakukan BP2 Semarang .jpg,Uji Hammer Test Terhadap Produk Saluran Beton oleh BP2 Semarang,Uji Hammer Test Terhadap Produk Saluran Beton oleh BP2 Semarang,NULL,NULL,TRUE,12/07/2024,12/07/2024
